dtm,SS_Price,DA_Price,ND,EMBEDDED_WIND_GENERATION,EMBEDDED_SOLAR_GENERATION
2020-09-20 00:00:00,2.5,32.17,20060,1196,0
2020-09-20 00:30:00,15.0,32.17,19389,1174,0
2020-09-20 01:00:00,47.95,32.0,18936,1154,0
2020-09-20 01:30:00,29.13,32.0,18705,1133,0
2020-09-20 02:00:00,28.95,31.99,18471,1117,0
2020-09-20 02:30:00,29.09013,31.99,18100,1101,0
2020-09-20 03:00:00,30.9,32.54,17826,1083,0
2020-09-20 03:30:00,34.4,32.54,17744,1065,0
2020-09-20 04:00:00,29.0,32.28,17577,1057,0
2020-09-20 04:30:00,28.9,32.28,17621,1049,0
2020-09-20 05:00:00,28.62,32.79,17868,1059,0
2020-09-20 05:30:00,29.0,32.79,17935,1068,0
2020-09-20 06:00:00,53.0,36.0,18699,1057,0
2020-09-20 06:30:00,53.0,36.0,19117,1045,2
2020-09-20 07:00:00,30.46,45.0,20066,1049,102
2020-09-20 07:30:00,31.09,45.0,21086,1052,490
2020-09-20 08:00:00,29.5,43.6,22528,1085,1130
2020-09-20 08:30:00,29.04,43.6,23355,1118,1770
2020-09-20 09:00:00,31.67,48.17,23955,1133,2500
2020-09-20 09:30:00,49.5,48.17,24135,1148,3480
2020-09-20 10:00:00,49.5,50.0,24188,1144,4360
2020-09-20 10:30:00,49.5,50.0,23835,1139,5130
2020-09-20 11:00:00,49.5,47.0,23653,1107,5760
2020-09-20 11:30:00,32.92,47.0,23355,1074,6400
2020-09-20 12:00:00,26.23,42.0,23296,1036,6750
2020-09-20 12:30:00,18.18,42.0,23001,998,6880
2020-09-20 13:00:00,23.88,37.67,22930,982,6850
2020-09-20 13:30:00,2.75,37.67,22481,966,6720
2020-09-20 14:00:00,19.7,45.0,22511,953,6280
2020-09-20 14:30:00,27.5904,45.0,22606,939,5790
2020-09-20 15:00:00,30.0,49.4,23080,932,5150
2020-09-20 15:30:00,59.95,49.4,23830,925,4460
2020-09-20 16:00:00,59.95,55.9,25338,915,3710
2020-09-20 16:30:00,68.95,55.9,26793,904,2770
2020-09-20 17:00:00,59.95,59.3,28369,868,1960
2020-09-20 17:30:00,59.95,59.3,29344,832,1260
2020-09-20 18:00:00,59.95,51.48,29855,822,569
2020-09-20 18:30:00,59.95,51.48,30196,811,117
2020-09-20 19:00:00,59.95,43.12,30830,796,4
2020-09-20 19:30:00,48.0,43.12,31071,781,1
2020-09-20 20:00:00,48.0,37.41,30494,774,0
2020-09-20 20:30:00,48.0,37.41,29416,767,0
2020-09-20 21:00:00,48.0,34.93,28440,753,0
2020-09-20 21:30:00,15.0,34.93,27090,738,0
2020-09-20 22:00:00,2.0,33.27,25651,720,0
2020-09-20 22:30:00,21.0,33.27,24301,701,0
2020-09-20 23:00:00,16.0,33.3,22757,673,0
2020-09-20 23:30:00,24.87,33.3,21624,644,0
2020-09-21 00:00:00,47.3,31.02,20767,631,0
2020-09-21 00:30:00,29.27,31.02,20069,617,0
2020-09-21 01:00:00,29.66,30.03,20006,600,0
2020-09-21 01:30:00,28.52,30.03,19913,583,0
