,dtm,SS_Price_1week_ago,DA_Price_48h_ago,DA_Price_1week_ago,time,year,month,day,hour,hourCos,hourSin
56168,2023-12-04 00:00:00,,,94.56,2023-12-04 00:00:00,2023,12,4,0.0,1.0,0.0
56169,2023-12-04 00:30:00,,,94.56,2023-12-04 00:30:00,2023,12,4,0.5,0.9914448613738104,0.13052619222005157
56170,2023-12-04 01:00:00,,,89.0,2023-12-04 01:00:00,2023,12,4,1.0,0.9659258262890683,0.25881904510252074
56171,2023-12-04 01:30:00,,,89.0,2023-12-04 01:30:00,2023,12,4,1.5,0.9238795325112867,0.3826834323650898
56172,2023-12-04 02:00:00,,,86.71,2023-12-04 02:00:00,2023,12,4,2.0,0.8660254037844387,0.49999999999999994
56173,2023-12-04 02:30:00,,,86.71,2023-12-04 02:30:00,2023,12,4,2.5,0.7933533402912352,0.6087614290087207
56174,2023-12-04 03:00:00,,,91.8,2023-12-04 03:00:00,2023,12,4,3.0,0.7071067811865476,0.7071067811865475
56175,2023-12-04 03:30:00,,,91.8,2023-12-04 03:30:00,2023,12,4,3.5,0.6087614290087207,0.7933533402912352
56176,2023-12-04 04:00:00,,,104.61,2023-12-04 04:00:00,2023,12,4,4.0,0.5000000000000001,0.8660254037844386
56177,2023-12-04 04:30:00,,,104.61,2023-12-04 04:30:00,2023,12,4,4.5,0.38268343236508984,0.9238795325112867
56178,2023-12-04 05:00:00,,,117.17,2023-12-04 05:00:00,2023,12,4,5.0,0.25881904510252074,0.9659258262890683
56179,2023-12-04 05:30:00,,,117.17,2023-12-04 05:30:00,2023,12,4,5.5,0.1305261922200517,0.9914448613738104
56180,2023-12-04 06:00:00,,,127.65,2023-12-04 06:00:00,2023,12,4,6.0,6.123233995736766e-17,1.0
56181,2023-12-04 06:30:00,,,127.65,2023-12-04 06:30:00,2023,12,4,6.5,-0.1305261922200516,0.9914448613738104
56182,2023-12-04 07:00:00,,,129.85,2023-12-04 07:00:00,2023,12,4,7.0,-0.25881904510252063,0.9659258262890683
56183,2023-12-04 07:30:00,,,129.85,2023-12-04 07:30:00,2023,12,4,7.5,-0.3826834323650895,0.9238795325112868
56184,2023-12-04 08:00:00,,,125.12,2023-12-04 08:00:00,2023,12,4,8.0,-0.4999999999999998,0.8660254037844387
56185,2023-12-04 08:30:00,,,125.12,2023-12-04 08:30:00,2023,12,4,8.5,-0.6087614290087207,0.7933533402912352
56186,2023-12-04 09:00:00,,,123.11,2023-12-04 09:00:00,2023,12,4,9.0,-0.7071067811865475,0.7071067811865476
56187,2023-12-04 09:30:00,,,123.11,2023-12-04 09:30:00,2023,12,4,9.5,-0.793353340291235,0.6087614290087209
